,HBB,ALAS2,CD93,HTN3,STATH,BPIFA1,MUC4,MYOZ1,CYP2B7P1,MMP10,MMP7,MMP11,SEMG1,KLK3,PRM1,RPS4Y1,XIST,ACTB,18S-rRNA,replicate_value
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,193,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
Skin,,,,,,,,,,,,,,,,,,,7259,1
Skin,,,,,,,,,,,,,,,,,,,7740,2
Skin,,,,,,,,,,,,,,,,,,,7390,3
Skin,,,,,,,,,,,,,,,,,,,7255,4
Skin,165,,,,,,,,,,,,,,,,,538,7164,1
Skin,205,,,,,,,,,,,,,,,,,449,6787,2
Skin,199,,,,,,,,,,,,,,,,,271,7003,3
Skin,,,,,,,,,,,,,,,,,,199,7448,4
Skin,,,,,,,,,,,,,,,,666,,518,7090,1
Skin,536,,,,,,,,,,,,,,,,,889,6704,2
Skin,203,,,,,,,,,,,,,,,,,640,7164,3
Skin,321,,,,,,,,,,,,,,,,,903,6855,4
Skin,,,,,,,,,,,,,,,,,,,294,1
Skin,,,,,,,,,,,,,,,,,251,,199,2
Skin,,,,,,,,,,,,,,,,,,213,321,3
Skin,,,,,,,,,,,,,,,,,,,197,4
Skin,,,,,,,,,,,,,,,,,794,750,2264,1
Skin,,,,,,,,,,,,,,,,,252,840,7172,2
Skin,,,,,,,,,,,,,,,,,274,1639,7291,3
Skin,,,,,,,,,,,,,,,,,766,904,6820,4
Skin,174,,,,,,,,,,,,,,,,842,2944,6876,1
Skin,,,,,,,,,,,,,,,,,845,3954,7075,2
Skin,,,,,,,,,,,,,,,,,435,3407,7070,3
Skin,,,,,165,,,,,,,,,,,,694,1547,4763,4
Skin,,,,,,,,,,,,,,,,,,,,1
Skin,,,,,,,,,,,,,,,,,,316,430,2
Skin,,,,,,,,,,,,,,,,,,,638,3
Skin,,,,,,,,,,,,,,,,,,,624,4
Skin,,,,,,,755,,,,,,,,,,315,1954,7443,1
Skin,,,,,,,,,,,,,,,,,,1967,7490,2
Skin,,,,,,,,,,,,,,,,,240,2536,6845,3
Skin,,,,,,,,,,,,,,,,,220,2583,7111,4
Skin,,,,,,,729,,,,,,,,,,160,5606,6854,1
Skin,,,,,,,701,,,,1484,,,,,,344,7203,6489,2
Skin,,,,,,,,,,,,,,,,,277,4593,6986,3
Skin,166,,,,,,,,,,,,,,,,673,5202,6720,4
Skin,184,,,,,,588,,,,,,,,,,,,343,1
Skin,,,,,,,,,,,,,,,,,,,719,2
Skin,228,,,,,,,,,,,,,,,,,,508,3
Skin,153,,,,,,,,,,,,,,,,240,,352,4
Skin,3409,,,,,,,,,,,,,,,,,827,7475,1
Skin,2484,,,,,,,,,,,,,,,,,991,7382,2
Skin,2588,,,,,,589,,,,,,,,,,,695,6986,3
Skin,1047,,,,,,,,,,,,,,,,185,239,3606,4
Skin,7711,,,,,,581,,,,,,,,,,431,1623,6888,1
Skin,7765,,,,,,,,,,,,,,,,188,1659,6905,2
Skin,7093,253,,,,,,,,,,,,,,,,1271,6742,3
Skin,7472,,,,,,,,,,,,,,,,,2932,6414,4
Skin,,,,,,,,,,,,,,,,,262,543,4702,1
Skin,,,529,,,,,,,,,,,,,,1236,524,7138,2
Skin,,,,,,1022,,,,,,,,,,,650,1006,7387,3
Skin,,,,,,,,,,,,,,,,,543,922,7378,4
Skin,,,291,,337,,1959,,,,,,,,,,3413,5793,6108,1
Skin,,,,,,,784,,,,,,,,,,3679,6829,6386,2
Skin,,,170,,,,,,,,,,,,,,867,2791,6966,3
Skin,,,467,,,,,,,,,,,,,,742,3006,7005,4
Skin,,,635,,,,721,,,,,,,,,,4662,6399,6984,1
Skin,,,,,311,,460,285,,,,,,,,,4065,4877,6905,2
Skin,,,1208,,164,,1995,357,,,,,,,,,4016,5707,6954,3
Skin,,,,,,543,1115,219,,,,,,,,,2878,4814,6781,4
Skin,,,,,,,,,,,,,,,,,,341,6581,1
Skin,,,,,367,,,,,,,,,,,,,340,7589,2
Skin,,,,,,,,,,,,,,,,,,176,4862,3
Skin,,,,,,,,,,,,,,,,,,,2774,4
Skin,,,,,,,,,,,,,,,,944,,6507,5770,1
Skin,,,,,,,,,,,,,,,,,,1006,7660,2
Skin,,,509,,,,,,,,,,,,,,,1401,7316,3
Skin,,,,,,,,,,,,,,,,886,,1728,7280,4
Skin,,,229,,,,273,,,,838,,,,,897,,1477,7540,1
Skin,,,,,,,1604,,,,,,,,,1537,,3014,7021,2
Skin,,,,,,,,198,,,,,,,,641,,6876,6392,3
Skin,,,,,191,,,,,,,,,,,541,,2256,6809,4
Skin.penile,,,,,,,,,,,,,,,,,,,445,1
Skin.penile,,,,,,,,,,,,,,,,,,,408,2
Skin.penile,,,,,,,,,,,,,,,,,,,502,3
Skin.penile,,,,,,,,,,,,,,,,,,,443,4
Skin.penile,,,,,,,,,,,,,,,,,,,2298,1
Skin.penile,,,,,,,709,,,,,,,,,,,163,4735,2
Skin.penile,,,,,,,,,,,,,,,,,,,4341,3
Skin.penile,,,,,,,719,,,,,,,,,,,223,3297,4
Skin.penile,,,,,,,2801,,,,,359,,,,,,1584,6136,1
Skin.penile,,,478,,,,444,,,,,,,,,,,235,7273,2
Skin.penile,,,,,,,,,,,,,,,,,,391,7163,3
Skin.penile,,,,,,,,,,,,,,,,,,564,7279,4
Skin.penile,,,,,,,,,,,,,,,,,,272,2527,1
Skin.penile,,,,,,,2280,,,,,206,,,,,,,2126,2
Skin.penile,,,,,,,630,,,,,,,,,,,235,3993,3
Skin.penile,,,,,,,,,,,,,,,,,,211,1578,4
Skin.penile,,,,,,,3562,,,,,,,,,,,1445,7109,1
Skin.penile,,,,,,,3537,,,,,,,,,829,,1353,7516,2
Skin.penile,,,,,,,1105,,,,,,,,,581,,944,7295,3
Skin.penile,,,,,,,5098,,,,,,,,,,,1207,7590,4
Skin.penile,,,,,,,7692,,,,,,,,,,,2504,7087,1
Skin.penile,,,,,,,7039,,,,,,,,,626,,2535,7309,2
Skin.penile,,,,,,,8169,,,,1295,,,,,2844,,2215,7086,3
Skin.penile,,,,,,,7184,,,,,,,,,,,4365,6631,4
Skin.penile,,,,,,,,,,,,,,,,,,,,1
Skin.penile,,,,,,,,,,,,,,,,,,,253,2
Skin.penile,,,,,,,,,,,,,,,,,,,,3
Skin.penile,,,,,,,,,,,,,,,,,,,160,4
Skin.penile,,,,,,,,,,,,,,,,,,,1966,1
Skin.penile,,,,,,,,513,,,,,,,,,,,1008,2
Skin.penile,,,,,,,,,,,,,,,,,,,906,3
Skin.penile,,,,,,,,,,,,,,,,547,,,917,4
Skin.penile,,,,,,,,,,,,,,,,,,469,6308,1
Skin.penile,,,,,,,,,,,,,,,,,,159,3854,2
Skin.penile,,,,,,,,,,,,,,,,,,,2935,3
Skin.penile,,,,,,,,,,,,,,,,,,202,3582,4
Skin.penile,,,,,,,,,,,,,,,,,,,416,1
Skin.penile,,,,,,,,,,,,,,,,,,461,2002,2
Skin.penile,,,,,,,,,,,,,,,,,,,951,3
Skin.penile,,,,,,,,,,,,,,,,,,318,1107,4
Skin.penile,,,,,,,,,,,,,,,166,,,635,7194,1
Skin.penile,476,,,,,,220,,,,,,,,484,,,3347,7050,2
Skin.penile,733,,937,,,,1009,,,,,,,,594,,,3542,6697,3
Skin.penile,272,,,,,,,,,,,,,,,606,,2999,7263,4
Skin.penile,4010,,,,,,,,,337,,,,,846,1172,206,7652,6488,1
Skin.penile,3903,,,,,,,,,,,,,,1082,1054,273,7356,6011,2
Skin.penile,2277,,,,,,,,,,,,,,,,,7141,6537,3
Skin.penile,1475,,,,,,,,,,,,,,,1215,,6934,7013,4
