,HBB,ALAS2,CD93,HTN3,STATH,BPIFA1,MUC4,MYOZ1,CYP2B7P1,MMP10,MMP7,MMP11,SEMG1,KLK3,PRM1,RPS4Y1,XIST,ACTB,18S-rRNA,replicate_value
Saliva,,,,362,910,,,,,,,,,,,,,363,273,1
Saliva,,,,1362,1026,,,,,,,,,,,,,,200,3
Saliva,,,,,1574,,,,,,,,,,,,,515,1028,4
Saliva,,,,3945,3215,,,,,,,,,,,,,3720,7089,1
Saliva,,,,4930,7259,,,,,,,,,,,,,3001,6648,2
Saliva,,,,3787,5767,,,,,,,,,,,898,,3576,7233,3
Saliva,,,,5867,3928,,,,,,,,,,,691,,2682,5912,4
Saliva,,244,,6384,7510,,,,,,,,,,,1108,,5802,6775,1
Saliva,,,,9022,8730,,,314,,,,,,,,,,7300,6865,2
Saliva,,,,8098,7217,,,,192,,,,,,,,,6346,6781,3
Saliva,,,,8980,5835,,,368,,,,,,,,,,7196,6907,4
Saliva,,,,780,289,,,,,,,,,,,,,,303,1
Saliva,,,,765,418,,,,,,,,,,,,,,417,2
Saliva,,,,2599,,,,,,,,,,,,,,,619,3
Saliva,,,,1938,,,,,,,,,,,,,,,270,4
Saliva,,,,7778,2441,,,,,,,,,,,,,255,651,1
Saliva,,,581,3472,1836,,,,,,,,,,,,,441,1124,2
Saliva,,,,5860,1369,,,,,,,,,,,,,245,1134,3
Saliva,,,367,4203,2668,,,,,,,,,,,,,162,725,4
Saliva,,,,6611,4931,,,,,,,,,,,1099,,1399,7041,1
Saliva,,,,8559,4693,,,,,,,,,,,,,1135,5041,2
Saliva,,,,8627,6131,,,,,,,,,,,,,1436,7419,3
Saliva,,,,8582,7877,,,,,,,,,,,,,3061,6808,4
Saliva,,,,7320,6967,,,,,,,,,,,,,263,7236,1
Saliva,,,,2105,3696,,,,,,,,,,,,,,2587,2
Saliva,,,,5860,8065,,,,,,,,,,,,,187,3745,3
Saliva,,,,4380,5279,,,,,,,,,,,,,,7230,4
Saliva,,,,8064,8380,,,,,,,,,,,,,1571,6671,1
Saliva,,,,8888,8403,,,,,,,,,,,,,1367,7099,2
Saliva,,,,8512,8443,,,,,,,,,,,,522,1401,6760,3
Saliva,,,,8568,8427,,,,,,,,,,,,179,1200,6953,4
Saliva,,,,8463,8207,,,,,,,,,,,,254,3704,6022,1
Saliva,225,,,8406,7867,1088,,,,,,,,,,,461,4630,6742,2
Saliva,,,,8214,7646,,,,,,,,,,,,,5185,6422,3
Saliva,,,,7720,7950,,,,,,,,,,,,214,5128,6374,4
Saliva,6665,,,,460,,,,,,,,,,,,,2625,7023,2
Saliva,7763,,,707,677,,,,,,,,,,,,,2943,6546,4
Saliva,8102,,,,608,,,,,,,,,,,,,7018,6710,1
Saliva,,,,578,,,,,,,,,,,,,,,,3
Saliva,,,,933,,,,,,,,,,,,,,,1091,1
Saliva,,,,251,,,,,,,,,,,,,,310,1732,2
Saliva,,,,1197,457,,,,,,,,,,,,,,716,3
Saliva,,,,380,,,,,,,216,,,,,,,,1000,4
Saliva,,,,,306,,,,,,,,,,,651,,222,7295,1
Saliva,,,,1336,430,,,,,,,,,,,,,636,6996,2
Saliva,,,,2132,221,,,,,,,,,,,,,1006,7410,3
Saliva,,,,1533,498,,,,,,,,,,,,,824,7142,4
Saliva,,,,,186,,,,,,,,,,,,290,173,167,3
Saliva,,,,,297,,,,,,,,,,,,,,,4
Saliva,,,,,169,,,,,,,,,,,,,466,5679,3
Saliva,,,,986,156,,,,,,,,,,,,,303,1772,2
Saliva,,,,1609,663,,,,,,,,,,,,,1109,4756,3
Saliva,,,,979,339,,,,,,,,,,,,,811,2831,4
Saliva,,,,502,300,,,,,,,,,,,,167,1110,7113,1
Saliva,,,,2314,1221,,,,,,,,,,,,240,3524,7158,2
Saliva,,,,1684,1420,,,,,,,,,,,,821,1379,7306,3
Saliva,,,,2282,2745,,,,,,,,,,,,676,1697,7119,4
Saliva,,,,,202,,,,,,,,,,,,,,192,1
Saliva,,,,786,1099,,,,,,,,,,,,,,4368,1
Saliva,,,,799,,,,,,,,,,,,,287,215,3100,2
Saliva,,,,1998,,,,,,,,,,,,,,387,2513,3
Saliva,,,,1671,,,,,,,,,,,,,217,775,7538,1
Saliva,,,,,404,,,,,,,,,,,,,263,5955,2
Saliva,,,,957,336,,,,,,,,,,,,,208,5028,3
Saliva,,,,734,195,,,,,,,,,,,,,722,7194,4
Saliva,,,,8697,7950,,,,,,,,,,,1107,,2480,5137,1
Saliva,,,,6294,5539,,,,,,,,,,,,,7050,5211,2
Saliva,,,,4956,3413,,,,,,,,,,,,,7149,5395,3
Saliva,,,320,3083,5229,,,,,,,,,,,1258,,7048,5487,4
Saliva,,,,8815,8214,,,,,,,,,,,,,1994,4254,1
Saliva,,,,9172,7847,,,,,,,,,,,888,,2509,4420,2
Saliva,,,,8974,7025,,,,,,,,,,,567,,1375,2784,3
Vaginal.mucosa,,,,,,,4583,4977,1933,,,,,,,,443,3140,7527,1
Vaginal.mucosa,,,,,,,4713,5638,5685,,,,,,,,672,5815,6491,2
Vaginal.mucosa,,,342,,,,2736,5464,6208,,,,,,,,1262,6661,6540,3
Vaginal.mucosa,,,,,,,7935,4978,3983,,,,,,,,214,4830,6304,4
Vaginal.mucosa,,,,,,,1232,1943,2127,,1098,,,,,,976,3088,7087,5
Vaginal.mucosa,,,297,,,,3291,2976,4795,,,,,,,,266,5052,7004,6
Vaginal.mucosa,,,,,,,,,355,,,,,,,,279,7322,7272,2
Vaginal.mucosa,,,,,,,,,174,,,,,,,,1450,4532,3042,3
Vaginal.mucosa,,,775,,,,976,241,736,,,,,,,,2883,7168,7467,1
Vaginal.mucosa,,,,,,,1255,,599,,,,,,,,1795,7142,7352,2
Vaginal.mucosa,,,,,,,,,1041,,,,,,,,1011,6807,6923,3
Vaginal.mucosa,,,981,,,,,,709,,,,,,,,673,7704,7775,4
Vaginal.mucosa,,,702,,,,913,,3800,,,,,,,,1220,6447,6759,1
Vaginal.mucosa,,,,,,,1011,,2310,,,,,,,,1434,6472,6916,2
Vaginal.mucosa,,,4428,,,,2052,,1531,,,,,,,,1423,6826,7170,3
Vaginal.mucosa,,,,,,,767,,2102,,,,,,,,2592,6756,7096,4
Vaginal.mucosa,,,,,,,627,,,,,,,,,,1133,380,2456,1
Vaginal.mucosa,,,,,,,742,363,,,,,,,,,2234,171,2048,2
Vaginal.mucosa,,,,,,,876,,,,,,,,,,1491,239,3326,3
Vaginal.mucosa,,,,,,,2537,1082,,,,,,,,,1617,232,4190,4
Vaginal.mucosa,,,,,,,8590,2931,620,,,,,,,,6570,1965,7726,1
Vaginal.mucosa,,,,,,,8909,7564,442,,,173,,,,,5983,2623,7574,2
Vaginal.mucosa,,,,,,,7739,5187,642,,,,,,,,6334,1715,7518,3
Vaginal.mucosa,,,,,,,8696,3643,434,,,,,,,,6481,2434,7616,4
Vaginal.mucosa,,,,,,,8758,7557,567,,,,,,,,4999,2362,7030,1
Vaginal.mucosa,,,,,,,8720,8757,1345,,,,,,,,5204,4616,6956,2
Vaginal.mucosa,,,,,,,8748,6463,1145,,,,,,,,5371,3830,7070,3
Vaginal.mucosa,,,,,,,8930,8057,1465,,,,,,,,5415,5056,6844,4
Vaginal.mucosa,,,,,,,1710,460,171,,,,,,,,2502,307,2416,1
Vaginal.mucosa,,,,,,,896,754,,,,,,,,,2116,387,1876,2
Vaginal.mucosa,,,,,,,1190,,,,,,,,,,2853,167,1553,3
Vaginal.mucosa,,,,,,,982,549,252,,,,,,,,1866,182,1574,4
Vaginal.mucosa,,,,,,,7910,2367,1583,,,,,,,,5915,1825,7311,1
Vaginal.mucosa,,,,,,,4182,1567,1199,,,,,,,,6204,2491,7322,2
Vaginal.mucosa,,,,,,,1649,990,1725,,,,,,,,6051,2156,7579,3
Vaginal.mucosa,,,,,,,2381,4665,2447,,,,,,,,6053,2304,7389,4
Vaginal.mucosa,,,,,,,8016,7249,3748,,,,,,,,5118,3680,6901,1
Vaginal.mucosa,,,223,,,,8361,4743,3318,,,,,,,,5469,2589,7429,2
Vaginal.mucosa,,,,,,,8151,5643,2452,,,,,,,,5696,2205,7458,3
Vaginal.mucosa,242,,,,,,8838,3483,2721,,,,,,,,4854,3347,7203,4
Vaginal.mucosa,,,,,,,4204,511,,,,,,,,,1598,854,3474,1
Vaginal.mucosa,,,,,,,4550,613,,,,,,,,,1653,640,2712,2
Vaginal.mucosa,,,,,,,7453,,,,,,,,,,1417,1136,3933,3
Vaginal.mucosa,,,,,,,3577,478,,,,,,,,,1481,543,2905,4
Vaginal.mucosa,,,,,,,5051,761,187,,,,,,,,6589,1830,7593,1
Vaginal.mucosa,,,,,,,8925,2997,186,,,,,,,,6482,2956,7501,2
Vaginal.mucosa,,,,,,,8697,1613,,,,,,,,,6260,2410,7174,3
Vaginal.mucosa,,,,,,,8909,483,,,,,,,,,5373,2052,7170,4
Vaginal.mucosa,,,,,,,8467,2768,237,,,,,,,,5686,4178,6821,1
Vaginal.mucosa,,,896,,,,8508,2530,,,,,,,,,6300,4070,7412,2
Vaginal.mucosa,,,,,,,8825,836,,,,,,,,,6797,2931,5905,3
Vaginal.mucosa,,,,,,,8952,1765,394,,,,,,,,6310,4941,7339,4
Vaginal.mucosa,,,,,,,2320,,,,,,,,,,515,825,1086,1
Vaginal.mucosa,,,,,,,3278,,,,,,,,,,1484,846,1691,2
Vaginal.mucosa,,,,,,,1888,,,,,,,,,,553,329,841,3
Vaginal.mucosa,,,,,,,2169,,,,,,,,,,237,801,1445,4
Vaginal.mucosa,,,,,,,8979,,1513,,,,,,,,5715,7018,5627,1
Vaginal.mucosa,,,,,,,8342,387,,,,,,,,,2839,2930,5097,2
Vaginal.mucosa,,,,,,,8584,389,,,,,,,,,1818,1989,2260,3
Vaginal.mucosa,,,,,,,517,,,,,,,,,,216,208,253,4
Vaginal.mucosa,,,,,,,8825,1166,192,,,,,,,,5213,6227,7200,1
Vaginal.mucosa,,,,,,,8982,818,164,,,,,,,,5495,6137,7406,2
Vaginal.mucosa,,,,,,,8999,1507,199,,,,,,,,5921,5954,7682,3
Vaginal.mucosa,,,,,,,8890,500,325,,,,,,,,5109,6244,7451,4
Vaginal.mucosa,,,,,,,,192,,,,,,,,,,845,790,3
Vaginal.mucosa,,,,,,,311,195,,,,,,,,,,902,423,4
Vaginal.mucosa,,,,,,,,267,,,,,,,,,,2198,1497,4
Vaginal.mucosa,,,537,,,,,592,,,,,,,,,367,3614,1415,1
Vaginal.mucosa,,,,,,,,451,,,,,,,,,184,3174,1236,2
Vaginal.mucosa,,,,,,,,244,,,,,,,,,329,3191,1362,3
Vaginal.mucosa,,,,,,,549,,,,,,,,,,298,255,324,2
Vaginal.mucosa,,,,,,,1004,,177,,,,,,,,345,323,720,3
Vaginal.mucosa,,,,,,,511,,,,,,,,,,278,408,450,4
Vaginal.mucosa,,,183,,,,3955,446,5067,,,,,,,,6327,6496,6641,1
Vaginal.mucosa,,,422,,,,8944,2204,7501,,,,,,,,6968,7286,7543,2
Vaginal.mucosa,,,703,,,,8899,3068,6851,,,,,,,,6416,7127,7300,3
Vaginal.mucosa,,,151,,,,8467,2474,7428,,,,,,,,6653,7148,7241,4
Vaginal.mucosa,,,894,,,,8778,1793,8436,,,,,,,,5449,6635,7097,1
Vaginal.mucosa,,,521,,,,8966,3929,9457,,,,,,,,6117,6853,6610,2
Vaginal.mucosa,,,538,,,,9026,3167,8833,,,,,,,,6169,6976,6986,3
Vaginal.mucosa,,,923,,,,8244,1604,9403,,,,,,,,6740,7146,6917,4
Vaginal.mucosa,,,,,,,605,,,,,,,,,,1330,,1324,1
Vaginal.mucosa,,,,,,,878,766,,,,,,,,,1506,343,2141,2
Vaginal.mucosa,,,,,,,448,294,,,,,,,,,1907,264,1502,3
Vaginal.mucosa,,,,,,,1900,1082,,,,,,,,,1767,346,2388,4
Vaginal.mucosa,,,,,,,6590,1631,,,,,,,,,6636,1076,7260,1
Vaginal.mucosa,,,,,,,5437,2533,,,,,,,,,6084,943,4313,2
Vaginal.mucosa,,,,,,,5859,1415,,,,,,,,,6697,1114,6699,3
Vaginal.mucosa,,,,,,,6800,2071,,,,,,,,,6773,1436,6703,4
Vaginal.mucosa,,,,,,,8661,3813,,,,,,,,,6530,943,4451,1
Vaginal.mucosa,,,,,,,7881,2795,,,,,,,,,7048,833,3306,2
Vaginal.mucosa,,,,,,,7264,2342,,,,,,,,,6732,833,2516,3
Vaginal.mucosa,,,,,,,7632,3530,,,,,,,,,6684,776,2310,4
Vaginal.mucosa,,,,,,,556,,,,,,,,,,718,489,611,1
Vaginal.mucosa,,,223,,,,2332,,,,,,,,,,1959,400,702,2
Vaginal.mucosa,,,,,,,168,,,,,,,,,,747,,210,3
Vaginal.mucosa,,,,,,,2304,,166,,,,,,,,4543,1856,3787,2
Vaginal.mucosa,,,,,,,6126,645,,,,,,,,,3835,1599,2773,3
Vaginal.mucosa,,,,,,,5743,,,,,,,,,,4908,1648,3201,4
Vaginal.mucosa,,,,,,,8774,339,251,,,,,,,,5802,3911,5880,1
Vaginal.mucosa,,,,,,,8763,1558,589,,,,,,,,5257,6088,7285,2
Vaginal.mucosa,,,,,,,8464,793,711,,,,,,,,5128,5995,7193,3
Vaginal.mucosa,,,,,,,8395,2007,906,,,,,,,,5397,6060,7085,4
Vaginal.mucosa,,,,,,,5824,,,,,,,,,,6038,347,6306,1
Vaginal.mucosa,,,,,,,4423,,,,,,,,,,7161,216,2888,2
Vaginal.mucosa,,,,,,,2637,,,,,,,,,,7113,223,4051,3
Vaginal.mucosa,,,,,,,1935,,,,,,,,,,4338,,1039,4
Vaginal.mucosa,,,,,,,8223,319,,,,,,,,,6168,741,6456,1
Vaginal.mucosa,,,,,,,9039,287,170,,,,,,,,5326,1377,7589,2
Vaginal.mucosa,,,,,,,8990,755,266,,746,,,,,,4261,1303,7430,3
Vaginal.mucosa,,,,,,,8862,1552,321,,,,,,,,3871,1325,7228,4
Vaginal.mucosa,,,,,,,8949,219,311,,1052,,,,,,4267,1020,7047,1
Vaginal.mucosa,,,,,,,8514,7000,469,,1244,,,,,,7000,7000,7372,2
Vaginal.mucosa,,,,,,,8099,596,488,,,,,,,,5753,1622,7010,3
Vaginal.mucosa,,,,,,,8234,1262,331,,2405,,,,,,5199,1890,7304,4
Menstrual.secretion,7864,1666,5881,,,,,399,,2064,1253,4051,,,,,6075,6738,7480,1
Menstrual.secretion,7386,1231,6087,,,,,,,4261,4183,6502,,,,,5725,6711,6855,2
Menstrual.secretion,7548,1667,6779,,,,665,,,4588,3655,7146,,,,,6003,6680,6625,3
Menstrual.secretion,7908,597,2371,,,,690,,,1739,2637,5841,,,,,5974,6543,7276,4
Menstrual.secretion,8391,298,2139,,,,,,,657,4115,3108,,,,,7274,5485,7060,5
Menstrual.secretion,7266,4075,8628,,,,,,163,9204,3343,4290,,,,,5971,6410,6800,6
Menstrual.secretion,7789,,325,,,,,,,,,,,,,,3811,936,759,1
Menstrual.secretion,7563,,,,,,,,,,,,,,,,5309,1262,798,2
Menstrual.secretion,8008,,,,,,,273,,,,266,,,,,3994,817,684,3
Menstrual.secretion,7763,,,,,,,,,,,,,,,,4616,1063,657,4
Menstrual.secretion,6247,545,2368,,,,,,,,,,,,,,3839,4987,5289,1
Menstrual.secretion,6632,1618,1417,,,,,,,418,,324,,,,,4074,4593,7119,2
Menstrual.secretion,6078,1915,2955,,,,,,,465,,248,,,,,4185,4708,6796,3
Menstrual.secretion,6150,1095,2661,,,,,,,199,,516,,,,,3348,4997,7182,4
Menstrual.secretion,5745,3026,4082,,,,954,,,786,,708,,,,,5639,3082,6938,1
Menstrual.secretion,6421,2681,6330,,,,,,,745,1288,317,,,,,5248,3243,6995,2
Menstrual.secretion,6380,2670,6319,,,,,,,617,2267,222,,,,,4668,3823,7038,3
Menstrual.secretion,5967,2157,5881,,,,,,,626,,411,,,,,4553,2717,6797,4
Menstrual.secretion,548,,,,,,195,256,,,,,,,,,258,,860,1
Menstrual.secretion,153,,,,,,369,,,,,,,,,,619,,250,3
Menstrual.secretion,1229,,,,,,1522,,,,,308,,,,,1036,158,1261,4
Menstrual.secretion,4436,,,,,,1750,1215,,,,632,,,,,2879,836,6964,1
