Blank_PCR,Blood,Menstrual.secretion,Nasal.mucosa,Saliva,Semen.fertile,Semen.sterile,Skin,Skin.penile,Vaginal.mucosa,HBB,ALAS2,CD93,HTN3,STATH,BPIFA1,MUC4,MYOZ1,CYP2B7P1,MMP10,MMP7,MMP11,SEMG1,KLK3,PRM1,RPS4Y1,XIST,ACTB,18S-rRNA
0,1,0,0,0,0,0,0,0,0,5251.0,8980.0,1098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6896.0,7191.0,7047.0
0,1,0,0,0,0,0,0,0,0,6068.0,9036.0,2680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5654.0,7192.0,7458.0
0,1,0,0,0,0,0,0,0,0,4044.0,8929.0,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4671.0,7296.0,6822.0
0,1,0,0,0,0,0,0,0,0,6867.0,881.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.0,0.0,679.0,2596.0
0,1,0,0,0,0,0,0,0,0,6178.0,1835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1141.0,3922.0
0,1,0,0,0,0,0,0,0,0,6871.0,1237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785.0,0.0,557.0,1638.0
0,1,0,0,0,0,0,0,0,0,6686.0,1198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2377.0,0.0,1092.0,2086.0
0,1,0,0,0,0,0,0,0,0,5201.0,7012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5627.0,0.0,5290.0,7210.0
0,1,0,0,0,0,0,0,0,0,6558.0,4668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2967.0,0.0,3471.0,7622.0
0,1,0,0,0,0,0,0,0,0,6464.0,4249.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2712.0,0.0,2773.0,6930.0
0,1,0,0,0,0,0,0,0,0,6424.0,5707.0,702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6009.0,0.0,3628.0,7610.0
0,1,0,0,0,0,0,0,0,0,6188.0,8833.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6698.0,0.0,7623.0,7637.0
0,1,0,0,0,0,0,0,0,0,4801.0,8896.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5887.0,0.0,7305.0,7021.0
0,1,0,0,0,0,0,0,0,0,4697.0,8078.0,1064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6917.0,0.0,7331.0,7917.0
0,1,0,0,0,0,0,0,0,0,6142.0,8566.0,780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6577.0,0.0,7236.0,7374.0
0,1,0,0,0,0,0,0,0,0,5773.0,4844.0,1436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1853.0,1906.0,7325.0
0,1,0,0,0,0,0,0,0,0,7186.0,1106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,610.0,1729.0
0,1,0,0,0,0,0,0,0,0,6523.0,1161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.0,824.0,2068.0
0,1,0,0,0,0,0,0,0,0,7315.0,1189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.0,474.0,1235.0
0,1,0,0,0,0,0,0,0,0,5677.0,4394.0,1618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2042.0,3245.0,4166.0
0,1,0,0,0,0,0,0,0,0,6410.0,4935.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1849.0,3202.0,5374.0
0,1,0,0,0,0,0,0,0,0,6720.0,4489.0,1006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1303.0,2975.0,5786.0
0,1,0,0,0,0,0,0,0,0,5978.0,6140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1488.0,4274.0,7258.0
0,1,0,0,0,0,0,0,0,0,5263.0,8973.0,2172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6807.0,7106.0,7207.0
0,1,0,0,0,0,0,0,0,0,8211.0,5602.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2828.0,4527.0,6430.0
0,1,0,0,0,0,0,0,0,0,5054.0,8756.0,1913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6756.0,7086.0,6996.0
0,1,0,0,0,0,0,0,0,0,6760.0,8448.0,619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5833.0,6278.0,7745.0
0,1,0,0,0,0,0,0,0,0,5963.0,1394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3659.0,0.0,1598.0,4102.0
0,1,0,0,0,0,0,0,0,0,6332.0,1316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2816.0,0.0,1289.0,2336.0
0,1,0,0,0,0,0,0,0,0,6419.0,1318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3616.0,0.0,826.0,2029.0
0,1,0,0,0,0,0,0,0,0,6029.0,1010.0,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1508.0,0.0,1142.0,2084.0
